Title,Authors,Subjetcs
AI-Powered Text Generation for Harmonious Human-Machine Interaction:  Current State and Future Directions,"Qiuyun Zhang, 
Bin Guo, 
Hao Wang, 
Yunji Liang, 
Shaoyang Hao, 
Zhiwen Yu","Computation and Language (cs.CL); Artificial Intelligence (cs.AI); Human-Computer Interaction (cs.HC)
"
CraftAssist Instruction Parsing: Semantic Parsing for a Minecraft  Assistant,"Yacine Jernite, 
Kavya Srinet, 
Jonathan Gray, 
Arthur Szlam","Computation and Language (cs.CL); Artificial Intelligence (cs.AI)
"
Real-time Inference in Multi-sentence Tasks with Deep Pretrained  Transformers,"Samuel Humeau, 
Kurt Shuster, 
Marie-Anne Lachaux, 
Jason Weston","Computation and Language (cs.CL); Artificial Intelligence (cs.AI)
"
"Question Relatedness on Stack Overflow: The Task, Dataset, and  Corpus-inspired Models","Amirreza Shirani, 
Bowen Xu, 
David Lo, 
Thamar Solorio, 
Amin Alipour","Computation and Language (cs.CL); Artificial Intelligence (cs.AI)
"
Relation Discovery with Out-of-Relation Knowledge Base as Supervision,"Yan Liang, 
Xin Liu, 
Jianwen Zhang, 
Yangqiu Song","Computation and Language (cs.CL); Artificial Intelligence (cs.AI); Machine Learning (cs.LG); Machine Learning (stat.ML)
"
Extracting human emotions at different places based on facial  expressions and spatial clustering analysis,"Yuhao Kang, 
Qingyuan Jia, 
Song Gao, 
Xiaohuan Zeng, 
Yueyao Wang, 
Stephan Angsuesser, 
Yu Liu, 
Xinyue Ye, 
Teng Fei","Computer Vision and Pattern Recognition (cs.CV); Human-Computer Interaction (cs.HC)
"
Fine-grained Attention-based Video Face Recognition,"Zhaoxiang Liu, 
Huan Hu, 
Jinqiang Bai, 
Shaohua Li, 
Shiguo Lian","Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI)
"
Anonymized BERT: An Augmentation Approach to the Gendered Pronoun  Resolution Challenge,Bo Liu,"Computation and Language (cs.CL); Artificial Intelligence (cs.AI); Machine Learning (cs.LG)
"
Towards Instance-level Image-to-Image Translation,"Zhiqiang Shen, 
Mingyang Huang, 
Jianping Shi, 
Xiangyang Xue, 
Thomas Huang","Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI)
"
Few-Shot Unsupervised Image-to-Image Translation,"Ming-Yu Liu, 
Xun Huang, 
Arun Mallya, 
Tero Karras, 
Timo Aila, 
Jaakko Lehtinen, 
Jan Kautz","Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI); Graphics (cs.GR); Multimedia (cs.MM); Machine Learning (stat.ML)
"
