Title,Authors,Subjetcs
"Testing Scenario Library Generation for Connected and Automated  Vehicles, Part II: Case Studies","Shuo Feng, 
Yiheng Feng, 
Haowei Sun, 
Shao Bao, 
Aditi Misra, 
Yi Zhang, 
Henry X. Liu","Robotics (cs.RO); Artificial Intelligence (cs.AI)
"
Variable Neighborhood Search for the Bin Packing Problem with Compatible  Categories,"Luiz F. O. Moura Santos, 
Hugo T. Y. Yoshizaki, 
Claudio B. Cunha","Data Structures and Algorithms (cs.DS); Artificial Intelligence (cs.AI); Optimization and Control (math.OC)
"
Learning to Evolve,"Jan Schuchardt, 
Vladimir Golkov, 
Daniel Cremers","Neural and Evolutionary Computing (cs.NE); Artificial Intelligence (cs.AI); Computer Vision and Pattern Recognition (cs.CV); Machine Learning (cs.LG); Machine Learning (stat.ML)
"
AutoAssist: A Framework to Accelerate Training of Deep Neural Networks,"Jiong Zhang, 
Hsiang-fu Yu, 
Inderjit S. Dhillon","Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Machine Learning (stat.ML)
"
SMT-based Constraint Answer Set Solver EZSMT+,"Da Shen, 
Yuliya Lierler","Logic in Computer Science (cs.LO); Artificial Intelligence (cs.AI)
"
Advancements in Image Classification using Convolutional Neural Network,"Farhana Sultana, 
A. Sufian, 
Paramartha Dutta","Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI)
"
MASS: Masked Sequence to Sequence Pre-training for Language Generation,"Kaitao Song, 
Xu Tan, 
Tao Qin, 
Jianfeng Lu, 
Tie-Yan Liu","Computation and Language (cs.CL); Artificial Intelligence (cs.AI); Machine Learning (cs.LG)
"
A new direction to promote the implementation of artificial intelligence  in natural clinical settings,"Yunyou Huang, 
Zhifei Zhang, 
Nana Wang, 
Nengquan Li, 
Mengjia Du, 
Tianshu Hao, 
Jianfeng Zhan",Artificial Intelligence (cs.AI)
Cyber-All-Intel: An AI for Security related Threat Intelligence,"Sudip Mittal, 
Anupam Joshi, 
Tim Finin","Artificial Intelligence (cs.AI); Computation and Language (cs.CL); Cryptography and Security (cs.CR)
"
ArCo: the Italian Cultural Heritage Knowledge Graph,"Valentina Anita Carriero, 
Aldo Gangemi, 
Maria Letizia Mancinelli, 
Ludovica Marinucci, 
Andrea Giovanni Nuzzolese, 
Valentina Presutti, 
Chiara Veninata","Artificial Intelligence (cs.AI); Computers and Society (cs.CY)
"
Endoscopy artifact detection (EAD 2019) challenge dataset,"Sharib Ali, 
Felix Zhou, 
Christian Daul, 
Barbara Braden, 
Adam Bailey, 
Stefano Realdon, 
James East, 
Georges Wagnières, 
Victor Loschenov, 
Enrico Grisan, 
Walter Blondel, 
Jens Rittscher","Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI); Machine Learning (cs.LG); Image and Video Processing (eess.IV)
"
A Hardware-Oriented and Memory-Efficient Method for CTC Decoding,"Siyuan Lu, 
Jinming Lu, 
Jun Lin, 
Zhongfeng Wang","Signal Processing (eess.SP); Machine Learning (cs.LG)
"
Meta-learning of Sequential Strategies,"Pedro A. Ortega, 
Jane X. Wang, 
Mark Rowland, 
Tim Genewein, 
Zeb Kurth-Nelson, 
Razvan Pascanu, 
Nicolas Heess, 
Joel Veness, 
Alex Pritzel, 
Pablo Sprechmann, 
Siddhant M. Jayakumar, 
Tom McGrath, 
Kevin Miller, 
Mohammad Azar, 
Ian Osband, 
Neil Rabinowitz, 
András György, 
Silvia Chiappa, 
Simon Osindero, 
Yee Whye Teh, 
Hado van Hasselt, 
Nando de Freitas, 
Matthew Botvinick, 
Shane Legg","Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Machine Learning (stat.ML)
"
"Emotion Recognition in Conversation: Research Challenges, Datasets, and  Recent Advances","Soujanya Poria, 
Navonil Majumder, 
Rada Mihalcea, 
Eduard Hovy","Computation and Language (cs.CL); Artificial Intelligence (cs.AI)
"
Robust Federated Training via Collaborative Machine Teaching using  Trusted Instances,"Yufei Han, 
Xiangliang Zhang","Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Machine Learning (stat.ML)
"
Neural 3D Morphable Models: Spiral Convolutional Networks for 3D Shape  Representation Learning and Generation,"Giorgos Bouritsas, 
Sergiy Bokhnyak, 
Stylianos Ploumpis, 
Michael Bronstein, 
Stefanos Zafeiriou","Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI); Graphics (cs.GR); Machine Learning (cs.LG)
"
Understanding attention in graph neural networks,"Boris Knyazev, 
Graham W. Taylor, 
Mohamed R. Amer","Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Machine Learning (stat.ML)
"
Feature Selection and Feature Extraction in Pattern Analysis: A  Literature Review,"Benyamin Ghojogh, 
Maria N. Samad, 
Sayema Asif Mashhadi, 
Tania Kapoor, 
Wahab Ali, 
Fakhri Karray, 
Mark Crowley","Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Computer Vision and Pattern Recognition (cs.CV); Machine Learning (stat.ML)
"
FANTrack: 3D Multi-Object Tracking with Feature Association Network,"Erkan Baser, 
Venkateshwaran Balasubramanian, 
Prarthana Bhattacharyya, 
Krzysztof Czarnecki","Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI); Machine Learning (cs.LG); Robotics (cs.RO)
"
Decision Making with Machine Learning and ROC Curves,"Kai Feng, 
Han Hong, 
Ke Tang, 
Jingyuan Wang","Methodology (stat.ME); Artificial Intelligence (cs.AI); General Economics (econ.GN); Machine Learning (stat.ML)
"
Interpretation of Feature Space using Multi-Channel Attentional  Sub-Networks,"Masanari Kimura, 
Masayuki Tanaka","Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI)
"
"Learned human-agent decision-making, communication and joint action in a  virtual reality environment","Patrick M. Pilarski, 
Andrew Butcher, 
Michael Johanson, 
Matthew M. Botvinick, 
Andrew Bolt, 
Adam S. R. Parker","Artificial Intelligence (cs.AI); Human-Computer Interaction (cs.HC); Machine Learning (cs.LG)
"
Autonomous Open-Ended Learning of Interdependent Tasks,"Vieri Giuliano Santucci, 
Emilio Cartoni, 
Bruno Castro da Silva, 
Gianluca Baldassarre","Artificial Intelligence (cs.AI); Robotics (cs.RO)
"
Knowing The What But Not The Where in Bayesian Optimization,"Vu Nguyen, 
Michael A. Osborne","Machine Learning (stat.ML); Machine Learning (cs.LG)
"
